Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
MSI RAIDER GE78HX 13VH INTEL I9 13950HX 64GB DDR5 4TB SSD RTX4090-16GB 17.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,4TB,17 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp70.499.000
MSI RAIDER GE78HX 13VH INTEL I9 13950HX 64GB DDR5 2TB SSD RTX4080-12GB 17.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,2TB,17 Inch,Black,64GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp53.699.000
MSI PRESTIGE 14 EVO A12UD INTEL I7 1280P 32GB 2TB SSD RTX3050TI-4GB 14.0 UHD IPS BL WIN11HOME + OHS CARBON GREY,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3050TI,SSD,Intel Core i7,2TB,14 Inch,Grey,32GB,Backlit Keyboard,Gratis,Windows 11 Home,MSI,Non Touchscreen,Rp29.999.000
MSI PRESTIGE 14 EVO A11SCX INTEL I7 1195G7 16GB 1TB SSD GTX1650-4GB 14.0 FHD IPS BL WIN11HOME CARBON GREY,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX1650,SSD,Intel Core i7,1TB,14 Inch,Grey,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp17.999.000
MSI MODERN 14 B11SB INTEL I7 1195G7 8GB 512GB MX450-2GB 14.0 FHD IPS BL WIN11HOME CARBON GREY,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA MX450,SSD,Intel Core i7,512GB,14 Inch,Grey,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp12.299.000
MSI KATANA GF76 12UD INTEL I7 12700H 16GB 512GB RTX3060-6GB 17.3 IPS FHD 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3060,SSD,Intel Core i7,512GB,17 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp19.999.000
MSI KATANA GF76 12UD INTEL I7 12700H 16GB 512GB RTX3050TI-4GB 17.3 IPS FHD 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3050TI,SSD,Intel Core i7,512GB,17 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp16.999.000
MSI KATANA GF66 12UD INTEL I7 12700H 16GB 512GB RTX3060-6GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3060,SSD,Intel Core i7,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp20.499.000
MSI KATANA GF66 12UD INTEL I7 12700H 16GB 512GB RTX3050TI-4GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3050TI,SSD,Intel Core i7,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp18.499.000
MSI KATANA GF66 12UD INTEL I7 12700H 16GB 1TB SSD RTX3070-8GB 15.6 IPS FHD 240HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp22.499.000
